pkg_name,avg_issue_till_closed,avg_pr_till_closed,avg_issue_open_time,avg_pr_open_time
constants-browserify,,314.79,33982.01,
os-browserify,25.17,23.86,,
got,295.76,46.39,19989.00,
path-parse,3565.59,953.12,36166.36,52155.36
assert,6546.78,366.33,30275.46,57871.91
ultron,144.64,53.31,65849.49,
prepend-http,230.21,4.67,,
babel-register,,,,
lodash._baseassign,2.81,27.85,10889.22,7945.76
console-control-strings,,,72931.37,43428.73
socket.io-client,7896.10,676.54,21303.95,12870.93
prr,,262.44,,
esrecurse,9087.91,13.88,80197.58,49001.87
options,,6742.59,92141.04,83467.16
file-entry-cache,310.67,0.07,,
is-absolute,1923.69,3.94,58560.79,
ignore,839.87,148.70,20615.65,
mocha,1149.10,336.14,40700.42,2167.04
remove-trailing-separator,78.05,45.85,,
color-convert,855.77,505.52,36908.51,6752.94
socket.io,7896.10,676.54,21304.02,12871.00
escope,283.96,40.62,82684.35,52969.85
es6-set,133.88,121.04,93340.06,
errno,6066.48,460.61,83583.02,
autoprefixer,24.32,3.80,46949.96,29623.67
array-differ,5875.55,28.16,,
acorn-jsx,274.04,1833.22,48090.73,46294.94
es6-map,1.20,4.48,93340.05,
is-relative,550.17,18.56,,
eventemitter3,30.40,8.57,22556.79,28990.17
babel-helpers,,,,
pluralize,75.03,622.65,43984.14,35410.00
lodash.isplainobject,2.81,27.85,10889.43,7945.97
pkginfo,1823.71,9188.90,46710.02,68319.75
table,498.57,21.62,45448.20,8224.31
glob-stream,649.47,10.71,13320.36,12703.62
vinyl-fs,987.99,130.32,36980.91,
recast,948.88,146.66,58564.20,44984.92
tryit,5268.88,2600.68,,
path-browserify,13837.78,8062.08,30968.97,15879.84
querystring-es3,1226.51,6.19,99650.19,75065.68
vm-browserify,9520.88,7842.37,72467.13,67305.27
css-selector-tokenizer,697.02,1016.21,67306.67,81262.21
growl,3896.16,1564.50,72718.28,46548.60
is-windows,,614.24,,
timed-out,1663.24,143.73,,
tty-browserify,,4825.26,36588.63,50541.24
js-base64,1576.84,16.22,24820.75,
flat-cache,310.67,0.07,,
domain-browser,3251.16,101.02,92414.92,
coffee-script,75.77,56.29,43720.33,25788.01
slice-ansi,4826.15,835.15,32427.43,
enhanced-resolve,2403.17,324.60,33341.33,11680.74
unique-stream,1411.79,1626.39,95608.65,419.60
requires-port,13596.18,28.43,22610.23,22609.08
engine.io-client,7896.10,676.54,21304.24,12871.22
circular-json,17.55,1.65,,
browserify-aes,101.54,10.36,48788.87,36401.56
ordered-read-streams,3596.98,71.38,,
write,700.36,2787.02,35916.88,
babel-plugin-transform-es2015-parameters,,,,
batch,2404.08,1545.16,108131.77,10892.77
v8flags,358.24,91.12,,
engine.io-parser,7896.10,676.54,21304.33,12871.31
babel-plugin-transform-es2015-modules-commonjs,,,,
lodash._root,2.81,27.85,10889.72,7946.25
url-parse,28.32,7.98,66530.28,6498.39
node-libs-browser,2298.40,2294.26,62444.31,42171.07
babel-plugin-transform-regenerator,,,,
is-resolvable,,,,
babel-helper-function-name,,,,
node-gyp,990.02,381.94,27814.29,31891.02
babel-helper-get-function-arity,,,,
babel-plugin-transform-es2015-destructuring,,,,
engine.io,7896.10,676.54,21304.72,12871.70
after,518.72,10.64,,
split,646.05,79.94,105259.51,76755.70
compressible,132.59,268.46,54173.22,3107.64
tapable,3377.01,1023.01,51309.02,
babel-helper-hoist-variables,,,,
time-stamp,742.27,177.54,53909.61,52420.27
configstore,185.26,26.18,,
babel-plugin-transform-strict-mode,,,,
first-chunk-stream,511.99,234.43,,
babel-plugin-transform-es2015-block-scoping,,,,
query-string,225.20,126.10,44330.02,1780.43
color-name,13.33,6.09,,
babel-helper-define-map,,,,
require-uncached,3641.74,225.43,31171.90,
ncp,2297.92,1528.55,77655.08,83953.77
babel-helper-replace-supers,,,,
babel-plugin-transform-es2015-classes,,,,
babel-helper-regex,,,,
babel-helper-optimise-call-expression,,,,
caller-path,5664.09,90.40,,
babel-helper-call-delegate,,,,
base64id,2904.42,1266.75,92310.32,
babel-plugin-transform-es2015-shorthand-properties,,,,
formidable,5124.73,1152.89,23527.29,2675.64
babel-plugin-transform-es2015-function-name,,,,
babel-plugin-transform-es2015-unicode-regex,,,,
babel-plugin-transform-es2015-sticky-regex,,,,
babel-plugin-transform-es2015-for-of,,,,
yauzl,1383.26,8055.61,64258.68,64585.27
stream-http,603.15,57.91,55332.06,59671.50
is-promise,5.83,25.02,31948.71,22730.78
lodash._basetostring,2.81,27.85,10890.91,7947.44
base64-arraybuffer,3623.54,4207.56,35411.19,41697.32
fsevents,185.06,154.32,26528.67,10091.40
babel-plugin-transform-es2015-computed-properties,,,,
babel-plugin-transform-es2015-object-super,,,,
expand-tilde,10.45,,,32557.54
natural-compare,147.32,204.92,,
babel-plugin-transform-es2015-spread,,,,
watchpack,8275.04,197.39,30421.75,17857.70
esprima-fb,,138.35,,92250.79
stack-trace,22223.31,2739.61,59571.49,25163.62
fancy-log,234.71,513.11,,
beeper,23.78,26.33,,
babel-plugin-check-es2015-constants,,,,
trim-right,27675.03,944.45,,
exit,2591.69,1115.10,97653.95,69893.70
babel-plugin-transform-es2015-arrow-functions,,,,
babel-plugin-transform-es2015-template-literals,,,,
babel-plugin-transform-es2015-block-scoped-functions,,,,
babel-plugin-transform-es2015-literals,,,,
multipipe,11.83,7.29,72105.43,24882.67
write-file-atomic,8832.66,122.18,40135.90,1530.34
babel-plugin-transform-es2015-typeof-symbol,,,,
sparkles,5.08,156.43,,
csso,7543.14,246.03,63915.90,19582.91
whatwg-fetch,43.85,41.79,12537.28,10253.65
serve-index,476.90,801.31,63237.68,40333.44
num2fraction,12.61,17816.98,53866.30,27624.06
is-plain-obj,2483.50,15.34,,
svgo,4993.53,282.64,40318.51,23667.18
color,472.88,199.83,43454.12,26555.35
babel-plugin-transform-es2015-modules-systemjs,,,,
socket.io-adapter,1970.87,890.35,,
babel-plugin-transform-es2015-duplicate-keys,,,,
parsejson,14380.34,16112.56,,
parseqs,26843.19,15180.07,,36559.50
postcss-value-parser,32.07,33.84,60464.82,40419.50
duplexify,10.63,497.62,69509.06,55800.97
typescript,,,,
lodash._basevalues,2.81,27.85,10891.71,7948.25
lodash._bindcallback,2.81,27.85,10891.76,7948.29
natives,44.69,1.35,,
big.js,418.95,44.45,8344.79,24152.67
websocket-driver,469.32,540.05,,48077.58
gulplog,672.51,34.26,,
lodash._reescape,2.81,27.85,10891.80,7948.34
lodash._reevaluate,2.81,27.85,10891.84,7948.38
babel-plugin-transform-es2015-modules-umd,,,,
xdg-basedir,9.75,5.92,,
babel-plugin-transform-es2015-modules-amd,,,,
emojis-list,50.40,12.52,80317.93,
builtin-status-codes,6.07,3.74,,
glogg,139.94,2.90,,
duplexer,3023.41,23.24,84749.72,
fbjs,344.99,206.61,69936.33,39720.88
babel-preset-es2015,,,,
has-gulplog,44061.40,66.42,,
update-notifier,996.10,145.02,58579.29,
lodash.pick,2.81,27.85,10892.07,7948.61
webpack-sources,2154.81,331.34,7218.12,
websocket-extensions,2574.33,3757.60,37612.61,
xmlhttprequest-ssl,362.29,126.60,9561.74,
arraybuffer.slice,,10210.38,83309.47,
event-stream,13962.77,27.88,61653.13,
better-assert,3040.62,13.72,76605.91,67435.42
node-sass,54.86,25.93,58894.10,48828.33
defaults,13286.03,1972.60,,
normalize-range,,2669.24,,32605.64
lodash.merge,2.81,27.85,10892.14,7948.67
tar-stream,12201.40,142.53,10979.81,12294.63
pend,0.10,,,
ua-parser-js,3908.79,449.96,12522.79,3044.18
coa,825.82,29.23,93936.71,79232.84
setimmediate,30.99,5.13,62507.00,46840.26
assertion-error,407.57,95.15,35799.47,
fd-slicer,0.05,466.37,34372.59,51765.68
has-cors,2.96,30854.09,72222.26,86381.55
to-array,,2.22,99295.16,41362.04
lodash.memoize,2.81,27.85,10892.18,7948.72
component-inherit,,721.43,,
component-bind,3265.64,446.34,88630.52,31829.69
chai,618.83,96.95,37353.29,18188.80
clap,774.51,3445.26,32399.81,20809.33
to-arraybuffer,,,,59125.29
bn.js,240.60,107.05,50102.64,60437.80
foreach,2501.41,56.97,60793.80,48312.47
postcss-selector-parser,884.33,150.45,52002.03,25407.83
backo2,,7.15,,75437.49
stream-combiner,65.79,7.65,92276.37,64917.40
stream-shift,4446.24,203.28,,17949.86
css-color-names,139.15,397.93,,
lowercase-keys,12929.03,17.04,15414.59,
react,,,,
package-json,649.19,37.66,64894.81,15398.50
deep-eql,1026.39,99.62,51640.09,34498.41
yeast,12087.46,24.50,24241.30,36560.29
brorand,275.70,3343.01,74601.84,65961.51
cipher-base,11131.52,363.41,1668.87,43354.79
opn,5451.55,63.62,19587.93,
sort-keys,536.26,192.88,,
css-loader,1534.40,16.05,39092.69,8170.66
eventemitter2,1698.28,84.21,39679.41,25673.80
is-redirect,,5.62,,
pkg-dir,5.81,13.37,39965.69,
minimalistic-assert,,3.06,69127.88,
elliptic,105.17,206.22,44143.15,40631.96
pbkdf2,2801.66,1132.60,52026.95,33889.57
global-prefix,1469.49,2152.39,48964.02,58933.59
latest-version,2.55,81.44,10839.17,
adm-zip,5859.31,579.41,57308.76,5563.53
uniq,0.21,4.20,44774.26,50157.90
hash.js,283.68,2607.15,54915.88,52861.22
electron-to-chromium,9.50,98.05,64013.45,24686.70
