pkg_name,maintainer_count,gh_days_since_commit,gh_open_prs,gh_open_issues,gh_stars,gh_repo_url
currently-unhandled,1,2356,1,2,24,https://github.com/jamestalmage/currently-unhandled
loose-envify,1,1604,2,2,284,https://github.com/zertosh/loose-envify
wrap-ansi,2,560,0,5,123,https://github.com/chalk/wrap-ansi
fstream,7,1423,8,24,209,https://github.com/npm/fstream
regexpu-core,4,169,1,4,77,https://github.com/mathiasbynens/regexpu-core
ansi-escapes,1,372,0,6,510,https://github.com/sindresorhus/ansi-escapes
asap,2,1221,1,13,612,https://github.com/kriskowal/asap
set-blocking,1,512,1,2,38,https://github.com/yargs/set-blocking
strip-indent,1,1331,0,1,137,https://github.com/sindresorhus/strip-indent
cli-width,2,317,1,1,24,https://github.com/knownasilya/cli-width
domhandler,1,1,4,2,354,https://github.com/fb55/domhandler
trim-newlines,1,782,0,0,48,https://github.com/sindresorhus/trim-newlines
deep-extend,1,1620,3,9,201,https://github.com/unclechu/node-deep-extend
redent,1,1467,0,0,54,https://github.com/sindresorhus/redent
type-check,1,661,4,5,212,https://github.com/gkz/type-check
array-union,1,1530,0,0,76,https://github.com/sindresorhus/array-union
invariant,3,1243,3,13,1229,https://github.com/zertosh/invariant
prelude-ls,1,661,15,16,424,https://github.com/gkz/prelude-ls
deep-is,1,1344,0,0,21,https://github.com/thlorenz/deep-is
connect,1,225,4,4,9870,https://github.com/senchalabs/connect
escodegen,2,297,32,68,2681,https://github.com/estools/escodegen
querystring,2,555,3,13,286,https://github.com/Gozala/querystring
util,6,140,8,14,253,https://github.com/browserify/node-util
loader-utils,3,339,5,7,768,https://github.com/webpack/loader-utils
babel-types,3,0,100,0,43575,https://github.com/babel/babel
caniuse-db,1,5,14,86,5741,https://github.com/Fyrd/caniuse
defined,1,922,0,0,5,https://github.com/inspect-js/defined
del,1,215,0,17,1332,https://github.com/sindresorhus/del
babel-traverse,3,0,100,0,43575,https://github.com/babel/babel
es6-weak-map,1,1410,0,1,30,https://github.com/medikoo/es6-weak-map
lodash.template,2,148,28,72,60446,https://github.com/lodash/lodash
rechoir,1,322,1,1,48,https://github.com/gulpjs/rechoir
lodash.templatesettings,2,148,28,72,60446,https://github.com/lodash/lodash
ieee754,1,1367,3,0,121,https://github.com/feross/ieee754
clean-css,2,204,5,34,4190,https://github.com/clean-css/clean-css
tar,1,60,8,15,864,https://github.com/isaacs/node-tar
to-fast-properties,1,1317,0,1,238,https://github.com/sindresorhus/to-fast-properties
pseudomap,1,578,14,1,21,https://github.com/isaacs/pseudomap
yallist,1,325,3,2,209,https://github.com/isaacs/yallist
imurmurhash,1,4276,0,0,99,https://github.com/jensyt/imurmurhash-js
private,1,1840,1,1,55,https://github.com/benjamn/private
has-unicode,1,1605,3,0,17,https://github.com/iarna/has-unicode
console-browserify,39,140,0,1,34,https://github.com/browserify/console-browserify
path-is-inside,1,1894,1,2,41,https://github.com/domenic/path-is-inside
eslint,2,0,20,76,25910,https://github.com/eslint/eslint
object-keys,1,18,0,0,45,https://github.com/ljharb/object-keys
are-we-there-yet,7,371,0,0,179,https://github.com/npm/are-we-there-yet
rc,9,1136,16,21,1024,https://github.com/dominictarr/rc
function-bind,2,575,0,1,140,https://github.com/Raynos/function-bind
date-now,1,2295,2,2,5,https://github.com/Raynos/date-now
pako,1,317,4,22,5808,https://github.com/nodeca/pako
xml2js,1,650,43,57,4941,https://github.com/Leonidas-from-XIV/node-xml2js
performance-now,1,1555,0,2,0,https://github.com/braveg1rl/performance-now
babel-template,3,0,100,0,43575,https://github.com/babel/babel
rx-lite,1,2578,55,45,19445,https://github.com/Reactive-Extensions/RxJS
browserslist,1,8,5,40,13259,https://github.com/browserslist/browserslist
replace-ext,2,788,0,0,46,https://github.com/gulpjs/replace-ext
home-or-tmp,1,1484,0,0,30,https://github.com/sindresorhus/home-or-tmp
lodash._reinterpolate,2,148,28,72,60446,https://github.com/lodash/lodash
slash,1,732,0,0,335,https://github.com/sindresorhus/slash
gulp-util,2,1652,0,0,830,https://github.com/gulpjs/gulp-util
event-emitter,1,1186,0,6,245,https://github.com/medikoo/event-emitter
delegates,2,1901,4,8,433,https://github.com/visionmedia/node-delegates
is-path-in-cwd,1,1468,0,0,21,https://github.com/sindresorhus/is-path-in-cwd
is-path-inside,1,989,0,1,38,https://github.com/sindresorhus/is-path-inside
is-path-cwd,1,0,0,0,19,https://github.com/sindresorhus/is-path-cwd
babel-generator,3,0,100,0,43575,https://github.com/babel/babel
lodash.restparam,2,148,28,72,60446,https://github.com/lodash/lodash
which-module,1,750,8,0,27,https://github.com/nexdrew/which-module
babel-messages,3,0,100,0,43575,https://github.com/babel/babel
block-stream,1,3102,11,1,53,https://github.com/isaacs/block-stream
aproba,1,1480,0,1,133,https://github.com/iarna/aproba
readline2,1,118,0,0,27,https://github.com/sboudrias/readline2
clone-stats,1,337,2,0,11,https://github.com/hughsk/clone-stats
exit-hook,1,618,0,5,286,https://github.com/sindresorhus/exit-hook
espree,2,0,0,5,2326,https://github.com/eslint/js
dom-serializer,1,1,2,2,133,https://github.com/cheeriojs/dom-serializer
has,1,585,0,0,60,https://github.com/tarruda/has
socket.io-parser,2,292,1,0,140,https://github.com/Automattic/socket.io-parser
lodash.clonedeep,2,148,28,72,60446,https://github.com/lodash/lodash
timers-browserify,39,140,0,1,24,https://github.com/jryans/timers-browserify
regenerate,1,1227,2,2,366,https://github.com/mathiasbynens/regenerate
sha.js,3,140,10,5,291,https://github.com/crypto-browserify/sha.js
klaw,3,861,1,4,319,https://github.com/jprichardson/node-klaw
